timestamp,city,temperature,light,airquality_raw,sound,humidity,dust
2015-02-16T17:00:00.000Z,Shanghai,15.1435850317143,0.264813426620023,32.8590349402457,1523.71211636524,53.7972108011539,2916.99573121103
2015-02-16T18:00:00.000Z,Shanghai,14.3115990589081,0.138362068965517,32.0601152655148,1555.4850048711,56.4045240682218,2936.37942057536
2015-02-16T19:00:00.000Z,Shanghai,14.1533282911512,0.186149425287356,30.8629077162501,1527.90236570547,55.4055415651413,3045.88540780728
2015-02-16T20:00:00.000Z,Shanghai,13.922998775703,0.138346104725415,30.415685234099,1525.23054585521,53.2426076744944,3085.77748529936
2015-02-16T21:00:00.000Z,Shanghai,13.8638217605816,0.248782726692209,30.5354653633894,1522.23428463871,52.7787192303835,3060.18465200019
2015-02-16T22:00:00.000Z,Shanghai,13.85913119878,18.2372674760637,30.694222107664,1537.37791621615,52.2966689627266,3122.52950181717
2015-02-16T23:00:00.000Z,Shanghai,14.067795290043,257.54024197649,30.7611096639834,1547.20562729072,50.8349653952559,3002.14031777739
2015-02-17T00:00:00.000Z,Shanghai,14.8482739686609,603.627070760659,31.2272973620155,1547.89096949872,48.4060778011101,3013.04017036008
2015-02-17T01:00:00.000Z,Shanghai,16.1846873619405,1432.90018580843,30.8263558768094,1590.70990441678,43.5027576390755,3029.51678958367
2015-02-17T02:00:00.000Z,Shanghai,18.0537577353176,2075.39998152445,28.964303000347,1620.10665050978,35.3153134599254,2700.91982730456
2015-02-17T03:00:00.000Z,Shanghai,19.9153828162007,3092.63083787706,27.3017524692084,1583.59317216286,30.5614305874458,2627.72174037543
2015-02-17T04:00:00.000Z,Shanghai,21.0189393988813,3206.4585194707,27.150169711714,1579.53174356931,27.0437371725221,2541.6218988521
2015-02-17T05:00:00.000Z,Shanghai,21.6904600261159,2981.2085755504,24.3328164007358,1589.61354384433,24.5472299260068,2443.86517239296
2015-02-17T06:00:00.000Z,Shanghai,21.2274181335374,2268.37050479327,23.7085676268632,1621.8774006925,21.875711883741,2127.75710336231
2015-02-17T07:00:00.000Z,Shanghai,20.7987655490546,1551.72288801478,23.0252503535406,1652.73151314747,20.9515563383512,1918.28936249886
2015-02-17T08:00:00.000Z,Shanghai,18.8195714258203,655.295661110736,22.7087264536192,1602.02281145727,22.9861879404177,1901.11492773325
2015-02-17T09:00:00.000Z,Shanghai,16.8587724788907,94.7039053855625,23.5576135371286,1606.16063626518,25.4028173336477,1845.21052123532
2015-02-17T10:00:00.000Z,Shanghai,15.447999728916,0.528474399164054,24.9989569490767,1651.475642798,27.9361774000826,1763.53529663642
2015-02-17T11:00:00.000Z,Shanghai,14.8172345688634,0.544204980842912,24.9194741185866,1664.64577537802,28.3599804251537,1721.75717653714
2015-02-17T12:00:00.000Z,Shanghai,14.7502265350579,0.654263020005149,24.9681907206319,1605.59811734271,28.1143116656534,1690.92961608215
2015-02-17T13:00:00.000Z,Shanghai,14.5858095981097,0.614991679244553,24.9413281315801,1653.77861342526,27.8643750819828,1653.43702503774
2015-02-17T14:00:00.000Z,Shanghai,14.1854458216512,0.525753044886771,26.0531090339983,1616.77404209418,29.6877333779299,1719.26818182838
2015-02-17T15:00:00.000Z,Shanghai,13.4708601290716,0.527979797979798,27.0165295074567,1645.8801539264,32.3016204061276,1845.66018833559
2015-02-17T16:00:00.000Z,Shanghai,13.251411847931,0.369852614818132,29.0184166472843,1628.67894142023,34.284295948249,1903.01479217942
